S\D	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100					
100	雨宫优子-悠久之翼	安哥拉曼纽-fate系列	格斯-剑风传奇	栎士-机魂末世录	千濑-最终兵器少女	不动明-恶魔人	阿格尼-炎拳	雾亥-特工次时代	斯奎拉-来自新世界	吉田松阳-银魂	阿嵬茨的意志-潘多拉之心	姬宫安西-少女革命	罗斯雷特・斯特劳斯-吸血十字界	杰尔夫·多拉格尼尔-妖精的尾巴	尸良-无限之住人	泰利昂大导师-银魂	Skuld Silent-Third-重装武器	迪亚波罗-jojo	门多萨-牙狼〈GARO〉-炎之刻印-	匿名君（Green Anon）-Sageman					
95	古手梨花-寒蝉鸣泣之时							上条当麻-魔法禁书目录	晓美焰-魔法少女小圆		C.C.-反叛的鲁路修					卡兹-jojo			瓶中小人-钢之炼金术士	贝伦卡斯泰露-海猫鸣泣之时					
90	火村夕-ef - a fairy tale of the two.		健次郎-北斗神拳	冈部伦太郎-命运石之门					英灵卫宫-fate系列											格里菲斯-剑风传奇					
85	妮娜-钢之炼金术士	娜娜奇-来自深渊	田中爱子-晚安布布	蓝原延珠-漆黑的子弹	金木研-东京食尸鬼	白银武-muv luv	里见莲太郎-漆黑的子弹			菜月昴-RE0	普鲁修卡-来自深渊			二阶堂浩平-黄金神威		安森奈绪-尸鬼				哈迪斯-圣斗士星矢					
80	节子-萤火虫之墓			长门有希-凉宫春日系列			明日香-eva系列		桔梗-犬夜叉	间桐樱-fate系列															
75	超梦-精灵宝可梦		乃木圆子-结城友奈是勇者	右代宫战人-海猫鸣泣之时				绯村剑心-浪客剑心	布布-晚安布布	Saber-fate系列	吉田咲-变身					卫宫切嗣-fate系列		贝吉塔-龙珠		弗利萨-龙珠					
70	罗塞特・克里斯特法-圣枪修女		波鲁纳雷夫-jojo	酷拉皮卡-猎人		户尾耕司-沙耶之歌	园崎魅音-寒蝉鸣泣之时		碇真嗣-eva	杨威利-银河英雄传说	黑瞳-斩赤红之瞳		园崎诗音-海猫鸣泣之时	三岛理沙-东京残响	我妻由乃-未来日记			琥珀-月姬	匂坂郁纪-沙耶之歌						
65	雪音克莉丝-战姬绝唱Symphogear	星野梦美-星之梦	灰原哀-名侦探柯南			庚夕子-黄昏少女×失忆			佐仓杏子&美树沙耶加-魔法少女小圆	伊藤开司-赌博默示录		咎儿-刀语													
60	古河渚-clannad		阿尔冯斯-钢之炼金术师		乔巴-海贼王	老仓育-物语系列	蕾姆-Re0		佐仓杏子&美树沙耶加-魔法少女小圆				普奇-jojo	鲁路修-反叛的鲁路修	水银灯-蔷薇少女	球磨川禊-最强会长黑神		言峰绮礼-fate系列	奈落-犬夜叉	黎明卿-来自深渊					
55	乔纳森乔斯达-jojo		鑢七花-刀语		爱德华-钢之炼金术师	常守朱-心理测量者		库丘林-fate系列	坂本银时-银魂	柏枝凪斗-弹丸论破		一方通行-魔法禁书目录	艾伦-进击的巨人		见崎鸣-another	枢木朱雀-反叛的鲁路修		宇智波佐助-火影鸣人	桐敷沙子-尸鬼	迪奥-jojo					
50	江藤沙织-盖格计数器	玲音-玲音	黑岩射手-黑岩射手			奇犽-猎人		御坂美琴-魔法禁书目录	阿姆罗-机动战士高达		沙耶-沙耶之歌	斯派克-星际牛仔		饿狼-一拳超人			后藤-寄生兽		针目缝-斩服少女						
45	藤沼悟-只有我不在的城市	西宫硝子-声之形	惠惠-为美好的世界献上祝福	露露子-宇宙巡警露露子	红月卡莲-反叛的鲁路修		糸色望-再见绝望先生					水龙-一拳超人		尼飞比特-猎人			绫崎飒-旋风管家			伊藤诚-日在校园					
40	近藤勳-银魂	无证骑士-一拳超人	响良牙-乱马1/2		尾崎敏夫-尸鬼	天王寺裕吾-命运石之门	黑泽-最强传说黑泽	春野樱-火影忍者		雅木茶-龙珠	三云修-境界触发者	羽川翼-物语系列			贝尔托特-进击的巨人		槙岛圣护-心理测量者		修塔克-钢之炼金术师	安藤守-赌博默示录					
35	青山七海-樱花庄的宠物女孩		散华礼弥-散华礼弥	小木曾雪菜-白色相簿2		我-四叠半神话大系		杀老师-暗杀教室					鸢一折纸-约会大作战	奥村雪男-青之驱魔师				艾斯德斯-斩赤红之瞳							
30	田名部爱-星空清理者		玛露西尔-迷宫饭	福部里志-冰菓		撒旦先生-龙珠		贝木泥舟-物语系列			乌丸千岁-少女编号					夜神月-死亡笔记		鬼龙院罗晓-斩服少女		江之岛盾子-弹丸论破					
25	琴浦春香-琴浦小姐	西片-擅长捉弄的高木同学	夜刀神十香-约会大作战				黑桐干也-空之境界	平和岛静雄-无头骑士异闻录					黑木智子-丧女		孙悟空-龙珠	战刃骸-弹丸论破	西索-猎人		碇源堂-eva						
20	北野诚一郎-冷面天使				五更琉璃-我的妹妹不可能这么可爱	露易丝-零之使魔						植野直花-声之形		千石抚子-物语系列			范马勇次郎-刃牙		折原临也-无头骑士异闻录	三好智广-赌博默示录					
15	我-人类衰退之后		种岛白杨-迷糊餐厅	涅普缇努-海王星系列	谷崎由佳里-阿兹漫画大王		悠悠-为美好的世界献上祝福	篝敦子-小魔女学园		爆豪胜己-我的英雄学院	忠邦的妹妹-男子高中生的日常		阿库娅-为美好的世界献上祝福				时崎狂三-约会大作战								
10	美滨千代-阿兹漫画大王	卡洛儿·奥尔斯顿-小智是女孩啦	山田葵-迷糊餐厅		萨塔妮娅-珈百璃的堕落	乌贼娘-侵略！乌贼娘	灵幻新隆-灵能百分百	博丽灵梦-东方project	高坂桐乃-我的妹妹哪有这么可爱！		凉宫春日-凉宫春日系列	羽濑川小鹰-我的朋友很少			panty-吊带袜天使	渡我被身子-我的英雄学院		八代学-只有我不存在的城市		扇要-反叛的鲁路修					
5	小岩井四叶-四叶妹妹！	由乃-向阳素描	由乃-向阳素描	芜罗亭魔梨威-女子落语	大室樱子-摇曳百合		元治的姐姐-男子高中生的日常		刚田武-哆啦A梦	冲仓驱-玻璃之唇	松冈美羽-草莓棉花糖	川井美树-声之形	皆川茜-人渣的本愿		stocking-吊带袜天使			鬼舞什无惨-鬼灭之刃		土间埋-干物妹小埋					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
